Package                           Current   Wanted    Latest  Location                                                Depended by
@cyclonedx/cyclonedx-npm           1.20.0   1.20.0     4.0.2  node_modules/@cyclonedx/cyclonedx-npm                   frontend@npm:genesis_luminal_claude@1.0.0
@react-three/drei                 9.122.0  9.122.0    10.7.6  frontend/node_modules/@react-three/drei                 frontend@npm:genesis_luminal_claude@1.0.0
@react-three/fiber                 8.18.0   8.18.0     9.3.0  frontend/node_modules/@react-three/fiber                frontend@npm:genesis_luminal_claude@1.0.0
@react-three/postprocessing        2.19.1   2.19.1     3.0.4  frontend/node_modules/@react-three/postprocessing       frontend@npm:genesis_luminal_claude@1.0.0
@testing-library/jest-dom          5.17.0   5.17.0     6.8.0  frontend/node_modules/@testing-library/jest-dom         frontend@npm:genesis_luminal_claude@1.0.0
@testing-library/react             13.4.0   13.4.0    16.3.0  frontend/node_modules/@testing-library/react            frontend@npm:genesis_luminal_claude@1.0.0
@types/jest                       29.5.14  29.5.14    30.0.0  node_modules/@types/jest                                frontend@npm:genesis_luminal_claude@1.0.0
@types/react                      18.3.24  18.3.24   19.1.13  frontend/node_modules/@types/react                      frontend@npm:genesis_luminal_claude@1.0.0
@types/react-dom                   18.3.7   18.3.7    19.1.9  frontend/node_modules/@types/react-dom                  frontend@npm:genesis_luminal_claude@1.0.0
@types/three                      0.153.0  0.153.0   0.180.0  frontend/node_modules/@types/three                      frontend@npm:genesis_luminal_claude@1.0.0
@typescript-eslint/eslint-plugin   8.43.0   8.44.0    8.44.0  frontend/node_modules/@typescript-eslint/eslint-plugin  frontend@npm:genesis_luminal_claude@1.0.0
@typescript-eslint/parser          8.43.0   8.44.0    8.44.0  frontend/node_modules/@typescript-eslint/parser         frontend@npm:genesis_luminal_claude@1.0.0
@vitejs/plugin-react                4.7.0    4.7.0     5.0.2  frontend/node_modules/@vitejs/plugin-react              frontend@npm:genesis_luminal_claude@1.0.0
cross-env                           7.0.3    7.0.3    10.0.0  frontend/node_modules/cross-env                         frontend@npm:genesis_luminal_claude@1.0.0
eslint                             8.57.1   8.57.1    9.35.0  frontend/node_modules/eslint                            frontend@npm:genesis_luminal_claude@1.0.0
eslint-plugin-react-hooks           4.6.2    4.6.2     5.2.0  frontend/node_modules/eslint-plugin-react-hooks         frontend@npm:genesis_luminal_claude@1.0.0
framer-motion                     10.18.0  10.18.0  12.23.13  frontend/node_modules/framer-motion                     frontend@npm:genesis_luminal_claude@1.0.0
husky                               8.0.3    8.0.3     9.1.7  frontend/node_modules/husky                             frontend@npm:genesis_luminal_claude@1.0.0
jest                               29.7.0   29.7.0    30.1.3  node_modules/jest                                       frontend@npm:genesis_luminal_claude@1.0.0
jest-environment-jsdom             29.7.0   29.7.0    30.1.2  frontend/node_modules/jest-environment-jsdom            frontend@npm:genesis_luminal_claude@1.0.0
leva                               0.9.36   0.9.36    0.10.0  frontend/node_modules/leva                              frontend@npm:genesis_luminal_claude@1.0.0
lint-staged                        13.3.0   13.3.0    16.1.6  frontend/node_modules/lint-staged                       frontend@npm:genesis_luminal_claude@1.0.0
mathjs                            11.12.0  11.12.0    14.7.0  frontend/node_modules/mathjs                            frontend@npm:genesis_luminal_claude@1.0.0
react                              18.3.1   18.3.1    19.1.1  frontend/node_modules/react                             frontend@npm:genesis_luminal_claude@1.0.0
react-dom                          18.3.1   18.3.1    19.1.1  frontend/node_modules/react-dom                         frontend@npm:genesis_luminal_claude@1.0.0
rollup-plugin-visualizer           5.14.0   5.14.0     6.0.3  frontend/node_modules/rollup-plugin-visualizer          frontend@npm:genesis_luminal_claude@1.0.0
three                             0.153.0  0.153.0   0.180.0  frontend/node_modules/three                             frontend@npm:genesis_luminal_claude@1.0.0
tone                              14.9.17  14.9.17   15.1.22  frontend/node_modules/tone                              frontend@npm:genesis_luminal_claude@1.0.0
typedoc                            0.24.8   0.24.8   0.28.13  frontend/node_modules/typedoc                           frontend@npm:genesis_luminal_claude@1.0.0
typescript                          5.1.6    5.9.2     5.9.2  frontend/node_modules/typescript                        frontend@npm:genesis_luminal_claude@1.0.0
vite                               4.5.14   4.5.14     7.1.5  frontend/node_modules/vite                              frontend@npm:genesis_luminal_claude@1.0.0
web-vitals                          3.5.2    3.5.2     5.1.0  frontend/node_modules/web-vitals                        frontend@npm:genesis_luminal_claude@1.0.0
zustand                             4.5.7    4.5.7     5.0.8  frontend/node_modules/zustand                           frontend@npm:genesis_luminal_claude@1.0.0
